2019-12-16 15:00:22 status installed libquadmath0:amd64 8.3.0-6
2019-12-16 15:00:22 configure libmpc3:amd64 1.1.0-1 <none>
2019-12-16 15:00:22 status unpacked libmpc3:amd64 1.1.0-1
2019-12-16 15:00:22 status half-configured libmpc3:amd64 1.1.0-1
2019-12-16 15:00:22 status installed libmpc3:amd64 1.1.0-1
2019-12-16 15:00:22 configure libatomic1:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libatomic1:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libatomic1:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libatomic1:amd64 8.3.0-6
2019-12-16 15:00:22 configure libmpx2:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libmpx2:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libmpx2:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libmpx2:amd64 8.3.0-6
2019-12-16 15:00:22 configure libubsan1:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libubsan1:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libubsan1:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libubsan1:amd64 8.3.0-6
2019-12-16 15:00:22 configure libisl19:amd64 0.20-2 <none>
2019-12-16 15:00:22 status unpacked libisl19:amd64 0.20-2
2019-12-16 15:00:22 status half-configured libisl19:amd64 0.20-2
2019-12-16 15:00:22 status installed libisl19:amd64 0.20-2
2019-12-16 15:00:22 configure libbinutils:amd64 2.31.1-16 <none>
2019-12-16 15:00:22 status unpacked libbinutils:amd64 2.31.1-16
2019-12-16 15:00:22 status half-configured libbinutils:amd64 2.31.1-16
2019-12-16 15:00:22 status installed libbinutils:amd64 2.31.1-16
2019-12-16 15:00:22 configure cpp-8:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked cpp-8:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured cpp-8:amd64 8.3.0-6
2019-12-16 15:00:22 status installed cpp-8:amd64 8.3.0-6
2019-12-16 15:00:22 configure libc-dev-bin:amd64 2.28-10 <none>
2019-12-16 15:00:22 status unpacked libc-dev-bin:amd64 2.28-10
2019-12-16 15:00:22 status half-configured libc-dev-bin:amd64 2.28-10
2019-12-16 15:00:22 status installed libc-dev-bin:amd64 2.28-10
2019-12-16 15:00:22 configure libcc1-0:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libcc1-0:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libcc1-0:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libcc1-0:amd64 8.3.0-6
2019-12-16 15:00:22 configure liblsan0:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked liblsan0:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured liblsan0:amd64 8.3.0-6
2019-12-16 15:00:22 status installed liblsan0:amd64 8.3.0-6
2019-12-16 15:00:22 configure libitm1:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libitm1:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libitm1:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libitm1:amd64 8.3.0-6
2019-12-16 15:00:22 configure binutils-x86-64-linux-gnu:amd64 2.31.1-16 <none>
2019-12-16 15:00:22 status unpacked binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:00:22 status half-configured binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:00:22 status installed binutils-x86-64-linux-gnu:amd64 2.31.1-16
2019-12-16 15:00:22 configure libtsan0:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libtsan0:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libtsan0:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libtsan0:amd64 8.3.0-6
2019-12-16 15:00:22 configure binutils:amd64 2.31.1-16 <none>
2019-12-16 15:00:22 status unpacked binutils:amd64 2.31.1-16
2019-12-16 15:00:22 status half-configured binutils:amd64 2.31.1-16
2019-12-16 15:00:22 status installed binutils:amd64 2.31.1-16
2019-12-16 15:00:22 configure libgcc-8-dev:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libgcc-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 configure cpp:amd64 4:8.3.0-1 <none>
2019-12-16 15:00:22 status unpacked cpp:amd64 4:8.3.0-1
2019-12-16 15:00:22 status half-configured cpp:amd64 4:8.3.0-1
2019-12-16 15:00:22 status installed cpp:amd64 4:8.3.0-1
2019-12-16 15:00:22 configure libc6-dev:amd64 2.28-10 <none>
2019-12-16 15:00:22 status unpacked libc6-dev:amd64 2.28-10
2019-12-16 15:00:22 status half-configured libc6-dev:amd64 2.28-10
2019-12-16 15:00:22 status installed libc6-dev:amd64 2.28-10
2019-12-16 15:00:22 configure libstdc++-8-dev:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 status installed libstdc++-8-dev:amd64 8.3.0-6
2019-12-16 15:00:22 configure gcc-8:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked gcc-8:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured gcc-8:amd64 8.3.0-6
2019-12-16 15:00:22 status installed gcc-8:amd64 8.3.0-6
2019-12-16 15:00:22 configure gcc:amd64 4:8.3.0-1 <none>
2019-12-16 15:00:22 status unpacked gcc:amd64 4:8.3.0-1
2019-12-16 15:00:22 status half-configured gcc:amd64 4:8.3.0-1
2019-12-16 15:00:22 status installed gcc:amd64 4:8.3.0-1
2019-12-16 15:00:22 configure g++-8:amd64 8.3.0-6 <none>
2019-12-16 15:00:22 status unpacked g++-8:amd64 8.3.0-6
2019-12-16 15:00:22 status half-configured g++-8:amd64 8.3.0-6
2019-12-16 15:00:22 status installed g++-8:amd64 8.3.0-6
2019-12-16 15:00:22 configure g++:amd64 4:8.3.0-1 <none>
2019-12-16 15:00:22 status unpacked g++:amd64 4:8.3.0-1
2019-12-16 15:00:22 status half-configured g++:amd64 4:8.3.0-1
2019-12-16 15:00:22 status installed g++:amd64 4:8.3.0-1
2019-12-16 15:00:22 trigproc libc-bin:amd64 2.28-10 <none>
2019-12-16 15:00:22 status half-configured libc-bin:amd64 2.28-10
2019-12-16 15:00:22 status installed libc-bin:amd64 2.28-10
2019-12-16 15:01:31 startup packages remove
2019-12-16 15:01:31 status installed g++:amd64 4:8.3.0-1
2019-12-16 15:01:31 remove g++:amd64 4:8.3.0-1 <none>
2019-12-16 15:01:31 status half-configured g++:amd64 4:8.3.0-1
2019-12-16 15:01:31 status half-installed g++:amd64 4:8.3.0-1
2019-12-16 15:01:31 status config-files g++:amd64 4:8.3.0-1
2019-12-16 15:01:31 status not-installed g++:amd64 <none>
2019-12-16 15:01:31 status installed make:amd64 4.2.1-1.2
2019-12-16 15:01:31 remove make:amd64 4.2.1-1.2 <none>
2019-12-16 15:01:31 status half-configured make:amd64 4.2.1-1.2
2019-12-16 15:01:31 status half-installed make:amd64 4.2.1-1.2
2019-12-16 15:01:31 status config-files make:amd64 4.2.1-1.2
2019-12-16 15:01:32 status not-installed make:amd64 <none>
2019-12-16 15:01:32 startup packages configure
2019-12-16 15:01:32 startup packages configure
2019-12-16 15:01:33 startup packages remove
2019-12-16 15:01:33 status installed gcc:amd64 4:8.3.0-1
2019-12-16 15:01:33 remove gcc:amd64 4:8.3.0-1 <none>
2019-12-16 15:01:33 status half-configured gcc:amd64 4:8.3.0-1
2019-12-16 15:01:33 status half-installed gcc:amd64 4:8.3.0-1
2019-12-16 15:01:33 status config-files gcc:amd64 4:8.3.0-1
2019-12-16 15:01:33 status not-installed gcc:amd64 <none>
2019-12-16 15:01:33 status installed g++-8:amd64 8.3.0-6
2019-12-16 15:01:33 remove g++-8:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured g++-8:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed g++-8:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files g++-8:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed g++-8:amd64 <none>
2019-12-16 15:01:33 status installed gcc-8:amd64 8.3.0-6
2019-12-16 15:01:33 remove gcc-8:amd64 8.3.0-6 <none>
2019-12-16 15:01:33 status half-configured gcc-8:amd64 8.3.0-6
2019-12-16 15:01:33 status half-installed gcc-8:amd64 8.3.0-6
2019-12-16 15:01:33 status config-files gcc-8:amd64 8.3.0-6
2019-12-16 15:01:33 status not-installed gcc-8:amd64 <none>
2019-12-16 15:01:33 status installed binutils:amd64 2.31.1-16
2019-12-16 15:01:33 remove binutils:amd64 2.31.1-16 <none>
2019-12-16 15:01:33 status half-configured binutils:amd64 2.31.1-16
2019-12-16 15:01:33 status half-installed binutils:amd64 2.31.1-16
